IP,Time,URL,Staus
10.131.0.1,18/Feb/2018:16:06:17,GET /robots.txt HTTP/1.1,404
10.131.0.1,18/Feb/2018:16:06:17,GET /img/ruet.png HTTP/1.1,304
10.128.2.1,18/Feb/2018:19:40:12,GET /home.php HTTP/1.1,302
10.130.2.1,18/Feb/2018:19:40:12,GET /login.php HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:40:13,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:13,GET /css/normalize.css HTTP/1.1,200
10.130.2.1,18/Feb/2018:19:40:13,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:13,GET /css/main.css HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:40:13,GET /css/style.css HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:13,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:13,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:13,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:40:15,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:40:17,GET /img/ruet.png HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:40:31,POST /process.php HTTP/1.1,302
10.128.2.1,18/Feb/2018:19:40:31,GET /login.php?value=fail HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:40:35,GET /login.php?value=fail HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:38,GET /login.php?value=fail HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:39,GET /login.php?value=fail HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:41,GET /login.php HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:44,GET /sign.php HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:40:46,GET /home.php HTTP/1.1,302
10.131.0.1,18/Feb/2018:19:40:46,GET /login.php HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:46:54,GET /home.php HTTP/1.1,302
10.128.2.1,18/Feb/2018:19:46:54,GET /login.php HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:46:56,GET /sign.php HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:47:10,POST /action.php HTTP/1.1,302
10.128.2.1,18/Feb/2018:19:47:11,GET /login.php HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:47:15,POST /process.php HTTP/1.1,302
10.128.2.1,18/Feb/2018:19:47:15,GET /home.php HTTP/1.1,200
10.128.2.1,18/Feb/2018:19:47:15,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:47:15,GET /js/vendor/moment.min.js HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:47:59,GET /archive.php HTTP/1.1,200
10.131.0.1,18/Feb/2018:19:48:01,GET /description.php?id=55 HTTP/1.1,200
